"d","t","travelers","CumulativeT"
"2","2018-09-18 05:49:28","2","674"
"2","2018-09-18 05:49:30","1","675"
"2","2018-09-18 05:49:33","1","676"
"2","2018-09-18 05:49:34","1","677"
"2","2018-09-18 05:49:47","1","678"
"2","2018-09-18 05:49:49","1","679"
"2","2018-09-18 05:49:51","1","680"
"2","2018-09-18 05:49:52","2","682"
"2","2018-09-18 05:49:53","2","684"
"4","2018-09-18 05:49:57","1","685"
"4","2018-09-18 05:49:59","1","686"
"4","2018-09-18 05:50:00","1","687"
"2","2018-09-18 05:50:05","1","688"
"2","2018-09-18 05:50:06","2","690"
"2","2018-09-18 05:50:09","1","691"
"2","2018-09-18 05:50:10","1","692"
"2","2018-09-18 05:50:12","2","694"
"2","2018-09-18 05:50:27","2","696"
"2","2018-09-18 05:50:29","1","697"
"2","2018-09-18 05:50:38","1","698"
"2","2018-09-18 05:50:43","1","699"
"2","2018-09-18 05:50:44","1","700"
"2","2018-09-18 05:50:45","1","701"
"2","2018-09-18 05:50:47","1","702"
"2","2018-09-18 05:50:59","2","704"
"2","2018-09-18 05:51:05","1","705"
"2","2018-09-18 05:51:07","2","707"
"2","2018-09-18 05:51:08","1","708"
"2","2018-09-18 05:51:13","2","710"
"2","2018-09-18 05:51:16","1","711"
"2","2018-09-18 05:51:17","1","712"
"2","2018-09-18 05:51:18","1","713"
"2","2018-09-18 05:51:20","2","715"
"2","2018-09-18 05:51:23","1","716"
"2","2018-09-18 05:51:25","1","717"
"2","2018-09-18 05:51:28","1","718"
"2","2018-09-18 05:51:31","1","719"
"2","2018-09-18 05:51:34","1","720"
"2","2018-09-18 05:51:38","1","721"
"2","2018-09-18 05:51:40","2","723"
"2","2018-09-18 05:51:46","1","724"
"2","2018-09-18 05:51:48","2","726"
"2","2018-09-18 05:51:49","1","727"
"2","2018-09-18 05:51:50","1","728"
"4","2018-09-18 05:51:53","1","729"
"2","2018-09-18 05:51:55","1","730"
"2","2018-09-18 05:51:56","1","731"
"2","2018-09-18 05:51:58","1","732"
"2","2018-09-18 05:52:01","1","733"
"4","2018-09-18 05:52:03","1","734"
"2","2018-09-18 05:52:04","2","736"
"2","2018-09-18 05:52:05","1","737"
"4","2018-09-18 05:52:06","1","738"
"2","2018-09-18 05:52:12","1","739"
"4","2018-09-18 05:52:15","1","740"
"2","2018-09-18 05:52:16","1","741"
"4","2018-09-18 05:52:23","1","742"
"2","2018-09-18 05:52:26","1","743"
"2","2018-09-18 05:52:27","1","744"
"4","2018-09-18 05:52:29","1","745"
"2","2018-09-18 05:52:31","1","746"
"2","2018-09-18 05:52:32","1","747"
